SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,StoreKey,BranchKey,PromotionKey,ChannelKey,OrderKey,Quantity,UnitPrice,Discount,TotalAmount,IsReturn
1.0,20260201,182,5210,22.0,1.0,2,1,1,,6.0,1060.07,0.0,6360.42,0.0
2.0,20260202,104,5408,23.0,4.0,1,8,1,,2.0,1612.85,0.0,3225.7,0.0
3.0,20260203,176,5866,11.0,3.0,1,4,1,,1.0,2221.14,0.0,2221.14,0.0
4.0,20260204,198,5705,20.0,3.0,1,12,1,,1.0,1311.83,0.0,1311.83,0.0
5.0,20260205,159,6288,20.0,3.0,1,12,1,,4.0,589.12,0.0,2356.48,0.0
6.0,20260206,109,5207,13.0,3.0,2,11,1,,2.0,2255.36,256.6,4254.12,0.0
7.0,20260207,147,6400,21.0,1.0,1,9,1,,3.0,902.82,0.0,2708.46,0.0
8.0,20260208,194,6141,8.0,3.0,1,4,1,,4.0,1310.69,192.0,5050.76,0.0
9.0,20260209,105,6162,,,2,4,2,2009.0,4.0,1042.58,0.0,4170.32,0.0
10.0,20260210,184,5506,24.0,3.0,2,10,1,,6.0,1501.24,0.0,9007.44,0.0
11.0,20260211,152,5097,4.0,2.0,1,11,1,,2.0,1622.86,0.0,3245.72,0.0
12.0,20260212,155,6134,1.0,1.0,2,11,1,,4.0,1315.89,158.73,5104.83,0.0
13.0,20260213,144,6479,24.0,3.0,1,9,1,,4.0,779.58,0.0,3118.32,0.0
14.0,20260214,114,5408,,,1,6,2,2014.0,3.0,2420.01,0.0,7260.03,0.0
15.0,20260215,198,6001,1.0,1.0,2,5,1,,5.0,2604.38,0.0,13021.9,0.0
16.0,20260216,131,5996,3.0,2.0,1,11,1,,5.0,2672.68,0.0,13363.4,0.0
17.0,20260217,161,5434,,,1,12,2,2017.0,2.0,1036.14,126.94,1945.34,0.0
18.0,20260218,140,6060,15.0,1.0,1,4,1,,6.0,1959.71,0.0,11758.26,0.0
19.0,20260219,109,5015,3.0,1.0,1,2,1,,5.0,1729.41,0.0,8647.05,0.0
20.0,20260220,105,5995,,,1,9,2,2020.0,1.0,1633.97,0.0,1633.97,0.0
21.0,20260221,117,5969,14.0,2.0,1,2,1,,5.0,1782.91,0.0,8914.55,0.0
22.0,20260222,185,6339,21.0,1.0,1,7,1,,4.0,1386.65,16.25,5530.35,0.0
23.0,20260223,194,5919,5.0,4.0,1,5,1,,1.0,996.78,0.0,996.78,0.0
24.0,20260224,160,5104,21.0,1.0,1,4,1,,1.0,1463.51,165.1,1298.41,0.0
25.0,20260225,122,5121,6.0,4.0,1,7,1,,4.0,912.99,0.0,3651.96,0.0
26.0,20260226,134,6497,,,2,3,2,2026.0,4.0,1084.6,0.0,4338.4,0.0
27.0,20260227,125,5643,2.0,1.0,2,9,1,,1.0,1790.03,0.0,1790.03,0.0
28.0,20260228,168,6219,3.0,2.0,2,2,1,,5.0,592.27,0.0,2961.35,0.0
29.0,20260301,173,6347,19.0,3.0,2,4,1,,5.0,495.38,0.0,2476.9,0.0
30.0,20260302,186,6322,10.0,4.0,2,2,1,,2.0,1037.47,0.0,2074.94,0.0
31.0,20260303,102,5437,17.0,3.0,1,6,1,,5.0,2790.63,0.0,13953.15,0.0
32.0,20260304,109,6113,,,2,10,2,2032.0,3.0,1083.97,0.0,3251.91,0.0
33.0,20260305,184,6359,4.0,2.0,2,2,1,,6.0,2361.05,0.0,14166.3,0.0
34.0,20260306,114,6470,11.0,2.0,2,9,1,,2.0,1053.64,0.0,2107.28,0.0
35.0,20260307,163,5567,2.0,1.0,2,3,1,,1.0,621.52,0.0,621.52,0.0
36.0,20260308,182,5876,,,1,2,2,2036.0,2.0,2178.95,0.0,4357.9,0.0
37.0,20260309,110,5757,,,1,7,2,2037.0,6.0,2569.43,0.0,15416.58,0.0
38.0,20260310,117,5733,7.0,2.0,1,6,1,,3.0,2557.56,258.21,7414.47,0.0
39.0,20260311,200,5485,6.0,2.0,2,1,1,,4.0,2737.21,277.73,10671.11,0.0
40.0,20260312,123,6372,24.0,2.0,2,3,1,,3.0,2277.73,0.0,6833.19,0.0
41.0,20260313,190,5943,12.0,3.0,1,4,1,,1.0,2460.62,0.0,2460.62,0.0
,20260314,104,5572,12.0,4.0,2,1,1,,,,,,
43.0,20260315,115,5223,,,2,6,2,2043.0,3.0,828.56,79.64,2406.04,0.0
44.0,20260316,194,5789,19.0,2.0,2,1,1,,4.0,1854.9,0.0,7419.6,0.0
45.0,20260317,191,6474,24.0,2.0,2,7,1,,5.0,2621.38,0.0,13106.9,0.0
46.0,20260318,109,5256,,,2,9,2,2046.0,3.0,1895.57,0.0,5686.71,0.0
47.0,20260319,140,5261,7.0,4.0,2,11,1,,3.0,1365.76,0.0,4097.28,0.0
48.0,20260320,196,5001,,,2,5,2,2048.0,5.0,1765.85,0.0,8829.25,0.0
49.0,20260321,127,5905,15.0,2.0,2,12,1,,5.0,1855.99,0.0,9279.95,0.0
50.0,20260322,122,5687,3.0,2.0,2,4,1,,3.0,1637.08,0.0,4911.24,0.0
51.0,20260323,126,5150,15.0,4.0,1,12,1,,1.0,987.62,0.0,987.62,0.0
52.0,20260324,190,5012,4.0,4.0,1,3,1,,4.0,985.56,0.0,3942.24,0.0
53.0,20260325,190,5274,15.0,3.0,2,10,1,,1.0,1737.77,36.41,1701.36,0.0
54.0,20260326,193,5326,,,2,8,2,2054.0,4.0,2393.37,0.0,9573.48,0.0
55.0,20260327,134,5490,9.0,4.0,1,12,1,,6.0,1065.55,145.38,6247.92,0.0
56.0,20260328,137,5284,5.0,2.0,2,12,1,,3.0,1167.3,0.0,3501.9,0.0
57.0,20260329,120,5955,14.0,1.0,1,7,1,,1.0,1395.68,0.0,1395.68,0.0
58.0,20260330,150,6180,,,2,8,2,2058.0,5.0,2670.55,0.0,13352.75,0.0
59.0,20260331,101,5859,,,1,8,2,2059.0,3.0,2208.34,286.03,6338.99,0.0
60.0,20260401,129,6391,13.0,2.0,2,3,1,,4.0,469.66,0.0,1878.64,0.0
,20260402,180,5172,21.0,4.0,1,8,1,,,,,,
62.0,20260403,124,5692,13.0,3.0,2,5,1,,4.0,1185.65,0.0,4742.6,0.0
63.0,20260404,111,6332,3.0,1.0,1,4,1,,6.0,1694.61,104.99,10062.67,0.0
64.0,20260405,126,6372,,,1,10,2,2064.0,5.0,765.72,0.0,3828.6,0.0
65.0,20260406,128,6244,24.0,1.0,1,5,1,,3.0,2240.56,0.0,6721.68,0.0
66.0,20260407,114,6465,7.0,1.0,1,2,1,,3.0,1781.91,112.59,5233.14,0.0
,20260408,190,6160,2.0,3.0,2,11,1,,,,,,
68.0,20260409,148,5217,14.0,3.0,2,12,1,,6.0,1218.95,246.7,7067.0,0.0
69.0,20260410,120,6262,18.0,4.0,2,7,1,,6.0,1652.19,0.0,9913.14,0.0
70.0,20260411,194,5924,8.0,4.0,2,6,1,,3.0,2444.11,26.0,7306.33,1.0
71.0,20260412,104,5530,11.0,3.0,2,9,1,,3.0,836.42,0.0,2509.26,0.0
72.0,20260413,102,5493,23.0,4.0,2,8,1,,2.0,605.47,146.57,1064.37,0.0
73.0,20260414,103,6360,19.0,3.0,2,9,1,,2.0,1370.56,0.0,2741.12,0.0
,20260415,168,5930,9.0,3.0,2,4,1,,,,,,
75.0,20260416,116,6414,6.0,2.0,1,12,1,,3.0,686.93,0.0,2060.79,0.0
76.0,20260417,162,5580,4.0,2.0,2,4,1,,5.0,2743.86,0.0,13719.3,0.0
77.0,20260418,147,5094,2.0,3.0,1,11,1,,1.0,2099.24,0.0,2099.24,0.0
78.0,20260419,197,5903,11.0,2.0,1,5,1,,1.0,1777.75,0.0,1777.75,0.0
79.0,20260420,162,6290,22.0,1.0,1,3,1,,1.0,1361.7,0.0,1361.7,0.0
