SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,BranchKey,ChannelKey,Quantity,UnitPrice,TotalAmount
1,20260201,123,5964,17,2,2,2,2792.67,2461.48
2,20260202,163,5187,16,2,2,3,1170.54,970.7
3,20260203,9999,5676,14,2,2,6,2668.46,4161.05
4,20260204,171,5076,15,1,2,3,1175.86,4865.83
5,20260205,152,6054,1,2,2,1,850.2,2128.01
6,20260206,197,6021,21,2,1,2,1040.93,1089.56
7,20260207,137,5898,23,2,1,1,2735.55,3239.92
8,20260208,131,6454,6,2,3,1,1725.4,919.44
9,20260209,115,5946,4,1,2,6,1100.47,3674.35
10,20260210,154,5989,16,1,2,5,747.14,1357.75
11,20260211,177,6041,24,1,1,3,2254.42,4344.86
12,20260212,144,6040,9,1,2,6,1116.53,3141.22
13,20260213,185,6003,5,2,3,4,1228.3,2983.63
14,20260214,170,5773,15,2,1,6,973.13,2223.37
15,20260215,200,5842,2,2,3,4,2092.55,4151.34
16,20260216,150,6360,21,1,2,1,702.99,4844.09
17,20260217,143,5206,15,1,3,4,436.83,1148.7
18,20260218,184,5317,3,2,2,3,1895.82,2288.67
19,20260219,111,5673,22,2,2,6,2124.92,3917.31
20,20260220,170,5074,20,1,1,6,2042.56,1793.21
21,20260221,130,5186,14,1,3,6,2494.19,2496.55
22,20260222,189,5614,1,1,2,1,1104.08,2186.78
23,20260223,119,5501,17,2,3,6,2302.05,1264.93
24,20260224,111,6249,13,1,2,5,743.48,2575.17
25,20260225,133,5942,9,1,2,3,2026.27,1210.89
26,20260226,157,5708,19,2,3,4,2056.75,2555.76
27,20260227,139,5408,13,2,1,2,1315.27,2115.32
28,20260228,138,6433,10,1,3,4,1058.75,3046.68
29,20260301,188,5101,20,2,2,2,1856.96,2085.44
30,20260302,182,5390,20,2,3,6,2241.93,3563.85
31,20260303,118,6287,4,1,2,4,480.07,2141.88
32,20260304,117,5185,10,2,3,4,821.54,1094.72
33,20260305,170,5750,17,2,1,3,2593.72,4748.85
34,20260306,138,5694,4,2,1,2,2209.96,1515.27
35,20260307,187,6484,22,2,3,3,616.73,2275.59
36,20260308,134,6099,4,2,2,6,2197.63,1679.73
37,20260309,149,6308,12,1,3,2,1531.54,3287.96
38,20260310,172,5672,20,1,3,1,1924.97,2589.2
39,20260311,190,5619,21,2,1,2,508.83,667.45
40,20260312,164,5238,4,1,3,2,1332.75,2169.55
41,20260313,196,6427,18,2,3,6,2143.84,4484.36
42,20260314,184,5203,16,2,2,1,2056.67,1477.71
43,20260315,157,5484,12,1,3,3,1706.72,4900.29
44,20260316,146,5125,13,2,1,1,2677.63,4208.86
45,20260317,112,6358,7,1,1,3,984.57,1066.66
46,20260318,173,5421,3,1,3,2,2351.33,1548.49
47,20260319,200,5303,20,1,2,2,2770.07,2930.97
48,20260320,123,5226,22,1,1,1,1259.78,4047.94
49,20260321,176,5664,1,1,2,1,704.22,2394.32
50,20260322,115,5131,16,2,2,5,1824.8,2534.02
51,20260323,129,6260,2,2,2,6,2713.66,773.71
52,20260324,162,5823,14,1,2,6,2583.28,830.71
53,20260325,111,5660,20,1,1,2,1060.04,3348.85
54,20260326,171,6459,11,2,3,5,1107.75,2774.98
55,20260327,156,5204,23,1,3,6,2506.49,2981.01
56,20260328,128,5881,15,1,2,3,2385.81,2294.29
57,20260329,194,5195,11,2,2,6,1011.74,4791.17
58,20260330,188,5972,3,1,1,1,1436.5,-3850.65
59,20260331,148,5267,18,1,3,5,1748.04,3515.06
60,20260401,153,5725,22,2,3,1,2724.16,3201.85
61,20260402,146,5213,19,1,1,6,1557.25,4312.74
62,20260403,145,6140,12,1,2,5,942.78,2431.01
63,20260404,172,6274,20,1,3,6,2390.71,1703.51
64,20260405,124,5560,23,2,2,3,414.65,4414.38
65,20260406,173,6347,13,1,1,6,1919.61,637.96
66,20260407,196,6087,7,2,2,4,1218.15,2165.24
67,20260408,193,5665,19,1,1,2,777.78,3280.27
68,20260409,187,5168,9,2,3,4,1565.59,2489.2
69,20260410,135,5442,17,1,2,4,666.14,3551.98
70,20260411,176,5997,17,2,1,2,1348.63,3196.96
71,20260412,101,5419,10,1,1,3,1094.67,1039.93
72,20260413,164,5882,6,1,2,5,2088.81,2751.18
73,20260414,186,5726,3,2,3,1,1446.93,2568.89
74,20260415,110,5642,19,2,3,4,2102.8,2379.62
75,20260416,115,5830,1,2,1,5,1504.23,3603.25
76,20260417,147,5181,14,1,1,4,1813.29,2857.83
77,20260418,151,5636,24,2,1,3,2269.88,843.71
78,20260419,182,5234,17,1,2,3,2145.71,4185.27
79,20260420,119,5484,4,1,2,2,816.4,1187.91
80,20260421,198,6343,3,1,3,4,1513.49,3036.81
81,20260422,175,5920,22,2,3,3,762.3,807.29
82,20260423,157,6294,10,2,3,1,1244.66,833.86
83,20260424,160,5926,2,1,2,3,584.15,4389.13
84,20260425,112,6260,20,2,2,5,1730.36,4063.18
85,20260426,106,5922,19,1,2,5,1541.51,1178.87
86,20260427,108,5923,4,2,3,1,1610.92,-1276.52
87,20260428,132,6450,15,2,3,5,1863.53,2137.54
88,20260429,137,5794,14,2,3,5,525.68,3338.99
89,20260430,143,5135,11,1,3,6,1327.75,1633.98
90,20260501,185,6235,5,2,1,5,1992.67,4625.36
91,20260201,140,6344,23,2,1,5,2101.2,881.24
92,20260202,172,5772,21,2,1,6,2086.79,4761.99
93,20260203,188,6079,3,2,3,3,443.75,1889.9
94,20260204,128,5700,16,1,1,2,771.87,1831.06
95,20260205,113,6040,18,1,3,3,2503.34,3281.14
96,20260206,177,5772,5,1,1,6,2250.63,4140.7
97,20260207,122,6477,15,1,2,3,2023.27,1568.89
98,20260208,157,6251,10,2,1,5,974.0,4845.18
99,20260209,161,5398,12,2,2,3,2267.5,2763.08
100,20260210,154,5332,7,1,2,1,1938.83,4433.53
101,20260211,171,5211,23,1,2,1,2231.48,1727.56
102,20260212,166,5302,14,1,1,4,2523.11,4687.12
103,20260213,154,5110,13,2,1,4,2786.86,2187.11
104,20260214,104,5653,4,2,1,2,491.93,4628.28
105,20260215,161,6426,5,2,2,5,412.6,856.52
106,20260216,133,5442,5,2,1,3,970.34,1048.32
107,20260217,131,5860,21,2,1,1,2408.05,2749.23
108,20260218,169,5034,21,1,3,2,1099.05,507.04
109,20260219,146,5493,19,2,1,6,2003.72,2855.68
110,20260220,147,5139,17,1,2,4,504.48,2240.97
