SaleID,DateKey,ProductKey,CustomerKey,EmployeeKey,BranchKey,ChannelKey,Quantity,UnitPrice,TotalAmount
11500,20260411,200,6424,12,1,2,2,1671.94,4801.99
6476,20260427,162,5941,1,2,2,1,655.15,3090.74
13168,20260228,111,6245,9,1,1,5,1259.52,1282.55
863,20260325,163,6377,4,2,2,5,1980.52,882.53
5971,20260303,188,6395,9,2,3,5,2360.85,1207.03
6707,20260319,131,5697,19,1,3,1,2428.32,4919.2
3018,20260320,104,6132,23,1,3,4,2742.28,1195.83
3782,20260202,128,6237,21,1,1,3,2265.27,4513.89
3899,20260301,111,6297,16,2,3,4,809.2,4019.74
2251,20260201,115,5264,14,1,1,2,2499.59,749.24
543,20260203,196,6400,7,2,3,2,963.67,1589.25
4352,20260304,149,5626,16,2,3,1,746.43,3121.85
12808,20260228,143,5588,15,1,2,5,1821.59,2307.06
6632,20260403,173,5672,21,1,3,1,849.05,3181.09
6706,20260318,105,5880,19,2,1,6,2434.59,2218.11
6979,20260321,175,5997,2,2,1,1,1848.71,2871.74
7400,20260220,147,5455,8,2,1,1,1198.04,3805.68
11120,20260322,150,5099,6,2,2,2,1540.18,2787.79
12666,20260407,144,6297,6,2,2,5,2229.59,4914.27
5305,20260426,183,5975,8,2,1,2,2093.34,2899.67
2313,20260404,189,6495,8,2,3,5,2120.2,1628.47
7041,20260221,185,5579,2,1,3,2,1532.57,1481.63
1890,20260501,186,5404,21,2,2,6,2302.68,4039.6
8992,20260423,146,5688,21,1,2,2,2279.53,2241.01
170,20260421,107,6372,17,1,3,2,525.98,2359.86
1796,20260427,153,5059,24,2,2,3,2364.08,2048.22
3976,20260216,128,6023,10,2,3,4,488.99,2576.66
6821,20260412,133,6280,19,1,1,6,1803.98,4906.54
7827,20260428,152,5360,5,1,2,2,1028.48,2331.34
11810,20260220,129,5608,22,2,2,2,1948.52,2655.82
1040,20260322,173,6025,16,1,3,2,1983.61,3045.68
2849,20260331,111,5281,10,2,3,3,923.59,1248.01
3372,20260314,179,5848,17,1,1,3,1250.35,2507.41
8830,20260210,115,6451,16,1,2,3,1305.86,772.77
10350,20260501,163,5634,14,2,1,5,1678.51,2405.17
8798,20260409,158,5627,21,1,2,3,725.27,752.94
765,20260317,150,5130,18,2,2,5,2715.89,4153.0
1594,20260405,163,6424,9,1,3,4,1965.02,1301.06
14233,20260213,160,5665,2,2,1,6,2160.3,2656.69
5873,20260223,184,5180,15,1,1,2,2715.54,2615.58
9941,20260313,192,6493,24,1,2,5,2776.82,792.72
5170,20260312,188,5506,19,1,3,6,2487.91,3232.47
10910,20260220,103,5205,24,1,3,2,1914.67,519.49
4123,20260414,194,5708,1,2,3,6,935.71,3598.63
12949,20260420,145,6051,18,1,3,3,924.17,1231.02
14483,20260424,164,5738,6,2,1,3,2475.19,4857.16
150,20260401,134,6490,12,2,2,1,1361.4,3066.27
11737,20260309,132,5777,21,2,2,2,1136.34,4524.3
388,20260228,158,5364,16,2,2,2,2410.37,1663.97
3947,20260418,120,6456,17,2,2,4,2173.33,4664.69
13403,20260424,112,5380,9,2,3,3,874.87,515.21
1374,20260224,151,5211,19,2,1,2,2689.03,2695.24
2885,20260205,141,5303,18,2,2,5,898.54,4204.01
14043,20260203,110,5355,11,2,3,1,1945.23,4535.91
11361,20260221,147,5755,8,2,1,5,1547.78,3115.15
2992,20260222,152,5313,5,2,1,5,2510.37,4477.43
