ProductKey|StoreKey|StockQty
101|1|55
102|2|238
103|3|236
104|4|8
105|1|46
106|2|240
107|3|196
108|4|87
109|1|232
110|2|192
111|3|188
112|4|174
113|1|163
114|2|241
115|3|126
116|4|138
117|1|188
118|2|106
119|3|86
120|4|216
121|1|59
122|2|85
123|3|123
124|4|141
9999|1|98
126|2|107
9999|3|100
9999|4|117
129|1|230
130|2|54
131|3|109
132|4|214
133|1|199
134|2|7
9999|3|56
136|4|235
137|1|37
138|2|221
139|3|24
140|4|28
141|1|163
142|2|173
143|3|183
144|4|42
145|1|70
146|2|82
147|3|143
148|4|109
149|1|21
150|2|91
151|3|225
152|4|70
153|1|123
154|2|156
155|3|147
156|4|244
157|1|129
158|2|219
159|3|227
160|4|76
161|1|230
162|2|67
163|3|176
164|4|181
165|1|25
166|2|139
167|3|173
168|4|89
169|1|16
170|2|153
171|3|152
172|4|105
173|1|131
174|2|52
175|3|176
176|4|40
177|1|123
178|2|189
179|3|107
180|4|241
181|1|36
182|2|202
183|3|212
184|4|234
185|1|223
186|2|212
187|3|136
188|4|150
189|1|161
190|2|14
191|3|130
192|4|36
193|1|234
194|2|56
195|3|124
196|4|28
197|1|7
9999|2|95
199|3|151
200|4|107
101|1|2
102|2|249
103|3|42
104|4|50
105|1|57
106|2|176
107|3|155
108|4|130
109|1|5
110|2|70
111|3|114
112|4|181
113|1|62
114|2|38
115|3|236
116|4|125
117|1|201
118|2|245
119|3|46
120|4|32
121|1|69
122|2|48
123|3|178
124|4|232
125|1|193
126|2|125
127|3|236
128|4|80
129|1|245
130|2|138
131|3|190
132|4|182
133|1|183
134|2|-25
135|3|26
136|4|109
137|1|34
138|2|88
139|3|146
140|4|99
141|1|235
142|2|190
143|3|157
144|4|214
145|1|190
146|2|216
147|3|114
148|4|240
149|1|16
150|2|128
151|3|94
152|4|18
153|1|30
154|2|68
155|3|171
156|4|232
157|1|113
158|2|113
159|3|119
160|4|213
161|1|30
162|2|98
163|3|51
164|4|29
165|1|176
166|2|80
167|3|157
168|4|248
169|1|50
170|2|134
171|3|12
172|4|152
173|1|203
174|2|102
175|3|36
176|4|166
177|1|188
178|2|231
179|3|118
180|4|-130
181|1|192
182|2|100
183|3|225
184|4|199
185|1|28
186|2|23
187|3|132
188|4|-191
189|1|146
190|2|16
191|3|144
192|4|42
193|1|142
194|2|59
195|3|175
196|4|183
197|1|71
198|2|197
199|3|197
200|4|240
101|1|182
102|2|175
103|3|68
104|4|9
105|1|214
106|2|33
107|3|111
108|4|164
109|1|182
110|2|210
111|3|11
112|4|171
113|1|-131
114|2|227
115|3|-231
9999|4|57
117|1|85
118|2|-169
119|3|142
120|4|229
121|1|187
122|2|138
123|3|191
124|4|145
125|1|118
9999|2|72
127|3|162
128|4|163
129|1|54
130|2|95
131|3|165
132|4|78
133|1|15
134|2|217
135|3|237
136|4|237
137|1|197
138|2|130
139|3|203
140|4|80
141|1|198
142|2|238
143|3|140
144|4|74
145|1|40
146|2|216
147|3|0
148|4|76
149|1|156
150|2|194
151|3|92
152|4|160
153|1|64
9999|2|236
155|3|157
156|4|45
157|1|128
158|2|126
159|3|99
160|4|237
161|1|119
162|2|171
163|3|86
164|4|110
165|1|115
166|2|80
167|3|58
168|4|192
169|1|133
170|2|104
171|3|104
172|4|143
173|1|132
174|2|19
175|3|79
176|4|248
177|1|87
178|2|165
179|3|54
180|4|193
181|1|151
182|2|211
183|3|33
184|4|172
185|1|78
186|2|208
187|3|22
188|4|220
189|1|203
190|2|51
191|3|190
192|4|227
193|1|51
194|2|125
195|3|52
196|4|48
197|1|205
198|2|44
199|3|246
200|4|101
101|1|168
102|2|77
103|3|214
104|4|13
105|1|133
106|2|24
107|3|153
108|4|162
109|1|76
110|2|79
111|3|73
112|4|143
113|1|146
114|2|246
115|3|15
116|4|196
117|1|247
118|2|37
119|3|6
120|4|133
121|1|75
122|2|35
123|3|203
124|4|119
125|1|59
126|2|91
127|3|-156
128|4|148
129|1|27
130|2|-146
131|3|244
132|4|32
133|1|23
134|2|80
135|3|121
136|4|171
137|1|129
138|2|109
139|3|209
140|4|237
141|1|65
142|2|180
143|3|70
144|4|182
145|1|135
146|2|211
147|3|192
148|4|41
149|1|144
150|2|241
151|3|110
152|4|20
153|1|206
154|2|42
155|3|3
156|4|202
157|1|246
158|2|80
159|3|37
160|4|172
161|1|226
162|2|130
163|3|114
164|4|7
165|1|9
166|2|30
167|3|147
168|4|12
169|1|96
170|2|40
171|3|73
172|4|109
173|1|192
174|2|95
175|3|38
176|4|231
177|1|16
178|2|160
179|3|170
180|4|201
181|1|32
182|2|223
183|3|38
184|4|90
185|1|103
186|2|39
187|3|64
188|4|74
189|1|56
190|2|118
191|3|106
192|4|204
193|1|39
194|2|214
195|3|156
196|4|243
197|1|39
198|2|185
199|3|234
200|4|9
