SaleID,DateKey,ProductKey,CustomerKey,BranchKey,Quantity,TotalAmount
1,20260201,135,6311,1,6,1959.27
2,20260202,199,5115,1,1,4122.71
3,20260203,152,5549,1,2,4609.11
4,20260204,173,6471,2,2,3449.47
5,20260205,151,6317,2,2,1691.96
6,20260206,132,6150,2,6,3130.64
7,20260207,175,5818,2,2,4987.97
8,20260208,118,6044,2,1,-3901.02
9,20260209,115,5314,1,6,2399.72
10,20260210,109,5789,2,5,4982.55
11,20260211,168,5515,1,6,3743.25
12,20260212,188,6100,2,6,2030.79
13,20260213,138,5891,1,4,514.6
14,20260214,193,6474,2,5,3928.83
15,20260215,165,5218,2,6,2784.48
16,20260216,126,5314,2,2,2927.21
17,20260217,200,6087,1,5,1958.7
18,20260218,103,5230,2,3,1577.54
19,20260219,131,6162,1,1,3793.58
20,20260220,109,6091,1,2,3468.88
21,20260221,171,5339,2,5,4425.95
22,20260222,155,5434,1,6,1902.72
23,20260223,186,6331,2,4,4548.26
24,20260224,158,5248,1,2,788.12
25,20260225,103,6205,1,5,1490.98
26,20260226,110,6450,1,2,803.3
27,20260227,105,5677,1,5,1571.02
28,20260228,186,5995,1,5,1095.4
29,20260301,174,6181,2,2,4030.79
30,20260302,153,5390,1,1,3465.42
31,20260303,146,5868,2,4,4387.27
32,20260304,107,6380,1,1,2311.8
33,20260305,144,5224,1,2,1355.94
34,20260306,158,5288,2,2,1753.45
35,20260307,132,5155,2,5,940.59
36,20260308,184,6108,1,1,4668.65
37,20260309,131,5341,2,4,2666.11
38,20260310,152,5121,1,4,509.7
39,20260311,150,5544,2,3,2403.53
40,20260312,194,6139,2,2,1354.54
41,20260313,128,5120,1,6,1911.22
42,20260314,107,6197,2,5,4637.24
43,20260315,168,5323,1,5,860.5
44,20260316,124,5141,1,6,4378.19
45,20260317,152,5246,1,5,3175.34
46,20260318,180,5168,2,6,3126.53
47,20260319,167,5648,2,2,3513.77
48,20260320,141,5489,2,4,1088.95
49,20260321,183,5615,2,3,4680.58
50,20260322,110,5020,2,5,4993.04
51,20260323,113,5151,1,5,1693.4
52,20260324,145,5141,1,3,1782.44
53,20260325,157,6113,2,5,4927.34
54,20260326,184,6084,1,6,4176.97
55,20260327,139,6359,1,2,1690.1
56,20260328,114,6134,1,3,1767.9
57,20260329,127,6470,2,2,3593.74
58,20260330,134,6036,2,3,-4574.01
59,20260331,9999,5190,2,3,698.39
60,20260401,143,5268,2,2,3835.54
61,20260402,171,6446,2,5,543.51
