SaleID,DateKey,ProductKey,CustomerKey,BranchKey,Quantity,TotalAmount
11500,20260411,169,6276,1,1,4577.46
6476,20260427,156,5748,1,4,4209.63
13168,20260228,145,6356,2,3,1658.1
863,20260325,150,5305,1,1,3395.29
5971,20260303,182,5371,2,5,4258.72
6707,20260319,172,5202,1,1,1764.71
3018,20260320,145,5353,2,1,2001.93
3782,20260202,121,6158,1,3,602.31
3899,20260301,147,6152,2,4,1110.5
2251,20260201,128,6396,1,6,1224.71
543,20260203,111,5549,1,4,3702.55
4352,20260304,194,6218,2,1,2439.09
12808,20260228,199,5434,1,1,2424.24
6632,20260403,9999,6338,2,6,2522.89
6706,20260318,177,5305,2,5,2860.0
6979,20260321,189,5432,1,4,3434.7
7400,20260220,168,5686,1,3,1159.86
11120,20260322,198,6308,2,6,4790.35
12666,20260407,177,5177,1,5,4537.47
5305,20260426,161,6389,1,4,2648.33
2313,20260404,125,6263,2,1,4105.99
7041,20260221,160,5939,1,4,888.85
1890,20260501,198,5306,2,2,1521.17
8992,20260423,157,6143,2,3,2106.04
170,20260421,174,5083,1,4,2835.34
1796,20260427,197,6450,2,3,1606.68
3976,20260216,106,6137,1,1,4087.67
6821,20260412,139,5876,1,3,2779.55
7827,20260428,194,6474,2,1,1493.71
11810,20260220,9999,5126,2,3,1529.07
1040,20260322,159,5647,1,1,3533.46
2849,20260331,122,5705,1,5,4336.75
3372,20260314,135,5592,1,3,4670.69
8830,20260210,125,5303,2,1,2860.29
10350,20260501,144,5645,2,2,2855.17
8798,20260409,137,5862,2,1,3420.54
765,20260317,158,5355,1,2,4138.07
1594,20260405,188,5505,2,2,2133.49
14233,20260213,193,5545,1,3,4059.96
5873,20260223,109,6396,2,5,4164.73
9941,20260313,136,5115,2,6,620.72
5170,20260312,120,5858,2,2,3976.77
10910,20260220,107,6391,1,5,1481.51
4123,20260414,110,5973,2,6,556.77
12949,20260420,133,6320,2,2,563.48
14483,20260424,107,5633,2,4,1139.53
150,20260401,107,5518,2,1,4199.52
11737,20260309,115,5347,2,5,4229.45
388,20260228,167,5582,1,3,1383.36
3947,20260418,125,5884,2,3,1437.81
13403,20260424,118,5475,1,1,1670.31
1374,20260224,125,5287,1,2,614.14
2885,20260205,161,5622,2,2,1878.05
14043,20260203,174,5725,2,6,4154.78
11361,20260221,185,5362,2,5,1563.85
2992,20260222,130,6353,2,3,4200.08
11596,20260417,143,5320,2,5,2383.05
10582,20260324,114,5862,1,5,3693.01
14868,20260218,192,5901,2,1,2973.76
14425,20260225,123,5453,2,5,3263.72
3025,20260327,172,5607,1,4,3283.12
252,20260413,142,6246,1,1,1067.86
12147,20260428,168,6328,2,1,1904.24
11439,20260209,112,5623,2,3,4562.94
7093,20260414,166,6249,2,5,1500.68
933,20260305,188,5618,1,3,3943.73
7218,20260218,190,6450,1,5,876.12
3685,20260426,174,6322,2,4,1839.14
8369,20260430,166,5751,1,6,4294.08
9479,20260301,142,6484,2,1,3195.33
11725,20260225,176,5117,2,4,4098.59
7418,20260310,196,5316,2,3,1868.93
10505,20260406,173,5096,1,4,1828.43
10516,20260417,169,6475,1,6,971.3
13510,20260210,141,6191,2,2,2937.31
7173,20260404,187,5572,1,4,1735.64
3329,20260430,113,5022,1,5,4382.23
5024,20260415,129,6239,1,2,2579.08
2215,20260327,130,5788,1,5,3717.14
2217,20260329,147,5006,1,1,2130.79
14796,20260308,141,6082,2,1,1558.37
2860,20260411,124,6413,1,2,3603.37
4025,20260406,165,5766,2,1,2925.95
2761,20260402,155,5309,2,3,-2240.67
3291,20260323,158,5004,1,5,-4259.27
10044,20260326,111,5457,1,6,4233.55
2627,20260217,106,5632,2,4,1495.9
4610,20260220,182,6103,1,6,4159.48
13284,20260326,123,5689,1,6,4152.93
12473,20260325,136,5016,1,2,2704.95
11740,20260312,194,5776,1,3,3768.26
6662,20260202,119,6240,1,5,670.71
13940,20260421,182,5365,2,1,1777.02
7360,20260411,166,5703,1,6,1168.18
3205,20260327,152,5950,2,4,1187.08
11753,20260325,145,6266,2,1,4922.95
6127,20260207,158,6077,2,5,2646.79
14630,20260322,195,5771,1,4,-1771.99
2679,20260410,114,6497,1,3,1302.46
3709,20260219,104,5061,1,3,4003.85
9988,20260429,184,6247,2,1,3171.72
2806,20260216,103,5582,2,2,2188.78
1454,20260214,117,5628,1,3,1520.52
14422,20260222,146,5951,1,1,978.46
10000,20260210,110,6269,2,4,3776.89
2320,20260411,120,5057,1,5,2220.82
13883,20260223,167,5555,1,4,1202.22
12609,20260209,112,5279,1,2,2100.71
7334,20260316,197,5340,2,4,-3072.88
3652,20260324,127,5287,1,6,3363.12
2289,20260311,187,5833,2,5,3750.29
3624,20260224,169,6289,1,1,2642.06
13619,20260301,175,5378,1,2,785.72
4879,20260219,112,6482,1,2,4926.24
1714,20260204,181,5242,1,3,1206.65
14506,20260216,157,5524,1,2,-1862.22
3590,20260421,167,6394,2,4,3484.04
9467,20260217,107,5229,1,1,1734.3
5156,20260226,199,6049,2,5,3411.69
12595,20260426,114,6465,2,6,1993.6
13674,20260425,145,5484,2,1,4345.84
3670,20260411,147,6483,2,5,1174.81
14325,20260215,148,6068,2,5,2359.44
13525,20260225,169,5315,1,6,4786.87
8385,20260215,178,6307,2,1,891.27
14211,20260422,116,5836,1,1,2952.83
4388,20260409,123,6477,1,5,3401.94
9124,20260306,101,5964,2,1,3332.97
7895,20260406,177,5742,2,6,4091.71
1490,20260322,174,5036,2,2,3117.45
1607,20260418,198,5107,1,6,2495.32
8595,20260317,132,5419,2,4,843.03
8529,20260410,160,6143,1,3,1959.27
1403,20260325,120,6404,2,4,1293.46
9388,20260228,115,5608,1,5,3577.71
3520,20260210,103,5835,1,4,4232.99
3298,20260330,197,6013,2,3,4826.24
1007,20260217,177,5892,1,1,1683.91
2792,20260202,124,6389,2,3,522.73
2705,20260205,117,5170,2,1,752.22
5614,20260306,123,5786,2,3,4163.33
14031,20260422,121,6385,2,1,4396.57
5684,20260214,177,6359,2,6,1334.96
12288,20260320,198,5011,1,5,700.29
5401,20260201,200,5894,2,2,1074.02
2358,20260218,136,5863,1,1,2537.53
14681,20260211,108,5346,1,1,2661.41
291,20260221,196,5696,1,3,4006.03
12535,20260225,168,5694,2,5,2172.72
5909,20260331,127,6371,2,4,4593.81
13819,20260321,124,5827,2,4,4164.61
6595,20260225,121,5635,2,4,1281.57
89,20260430,119,5051,1,2,4927.71
12999,20260311,161,5879,2,2,713.6
2233,20260414,112,6069,2,2,3844.11
8274,20260425,156,5637,2,3,4669.58
9323,20260325,137,6352,1,3,2464.51
7965,20260317,143,5553,1,2,1482.49
9038,20260310,116,5860,2,3,2709.36
11409,20260410,166,5803,1,2,2003.47
8392,20260222,139,5818,2,4,2197.79
11750,20260322,121,6447,2,6,1205.07
1057,20260408,111,5781,2,4,3342.7
904,20260204,180,5908,1,6,3670.83
14221,20260201,129,5472,2,4,4214.96
13627,20260309,169,5417,2,3,1626.67
2040,20260401,165,6411,1,3,4985.82
1612,20260423,123,6408,2,3,1393.99
14520,20260302,169,5444,2,1,576.62
737,20260217,194,5688,2,1,1693.46
5964,20260224,138,5256,2,1,-4513.74
11876,20260427,189,6036,2,4,4436.42
7309,20260219,160,6140,1,2,3573.9
9053,20260325,156,6254,2,3,2214.01
6178,20260330,157,5843,2,6,4525.01
13556,20260328,134,6368,2,2,2301.57
2865,20260416,107,5654,1,2,2652.35
10057,20260408,178,5570,1,1,2341.53
1419,20260410,122,6184,1,1,2352.63
5915,20260406,137,6391,1,2,603.26
4149,20260209,166,5102,1,2,1155.68
