ProductKey|StoreKey|StockQty
101|4|0
102|5|236
103|5|175
104|2|93
105|4|17
106|3|159
107|3|169
108|1|184
109|3|129
110|3|170
111|4|83
112|4|178
113|3|141
114|2|49
115|4|170
116|4|173
117|2|157
118|5|77
119|4|140
120|1|77
121|3|53
122|4|201
123|5|155
124|3|119
125|4|113
126|2|130
127|4|203
128|2|168
129|1|72
130|5|169
131|5|85
132|1|209
133|2|172
134|3|57
135|2|37
136|1|11
137|2|121
138|5|217
139|1|116
140|4|226
141|5|49
142|4|126
143|4|62
144|2|167
145|1|228
146|1|199
147|4|56
148|2|205
149|5|118
150|1|142
151|2|234
152|1|116
153|2|205
154|4|170
9999|5|143
156|5|81
157|4|156
158|5|109
159|5|114
160|2|190
161|4|115
162|3|192
163|2|215
164|3|196
165|5|124
166|2|70
167|4|19
168|3|60
169|3|85
170|3|228
171|5|20
172|2|38
173|2|98
174|2|180
175|2|16
176|4|104
177|3|138
178|4|106
179|1|52
180|4|99
181|5|242
182|1|219
183|5|97
184|4|1
185|3|76
186|4|218
187|4|137
188|5|204
189|5|229
190|2|124
191|2|69
192|4|124
193|1|99
194|3|171
195|4|185
196|2|215
197|4|235
198|2|159
199|5|6
200|4|151
101|5|169
102|1|-21
103|4|34
104|4|46
105|1|66
106|4|83
107|2|116
108|3|86
109|4|71
110|4|64
111|1|120
112|1|191
113|5|13
114|3|57
115|1|199
116|1|193
117|1|243
118|2|51
119|1|159
120|2|61
121|2|121
9999|1|144
123|2|119
124|3|196
125|3|42
126|5|155
127|1|199
128|2|246
129|3|-27
130|5|6
131|3|147
132|4|101
133|2|19
134|5|176
135|2|26
136|3|217
137|5|206
138|1|203
139|5|200
140|1|88
141|5|109
142|3|17
143|5|165
144|3|3
145|4|210
146|4|27
147|4|245
148|3|162
149|4|181
150|2|111
151|2|187
152|5|247
153|3|157
154|5|-198
155|4|-119
156|4|211
157|5|68
158|3|218
159|2|212
160|1|71
161|4|62
162|4|145
163|5|171
164|4|86
165|1|126
166|3|46
167|4|54
168|3|204
169|3|87
170|3|225
171|5|179
172|3|142
173|1|132
174|2|21
175|2|184
176|4|125
177|5|194
178|2|176
179|4|165
180|4|114
181|1|23
182|3|56
183|4|177
9999|2|78
185|5|94
186|4|141
187|5|88
188|4|190
189|5|84
190|3|179
191|4|69
192|3|64
193|2|30
194|2|80
195|1|190
9999|5|243
9999|2|49
198|2|189
199|4|70
200|5|250
101|5|152
102|3|25
103|2|75
104|2|92
105|2|77
106|1|181
107|5|32
108|3|11
109|1|141
110|3|178
111|2|163
112|4|26
113|1|146
114|3|120
115|4|112
116|3|47
117|1|64
118|4|-29
119|1|102
120|4|18
121|5|161
122|1|38
123|2|207
124|5|242
125|3|21
126|2|30
127|5|195
128|4|155
129|5|202
130|5|57
131|5|97
132|4|232
133|4|76
134|5|-109
135|3|145
136|5|15
137|5|245
138|1|242
139|2|160
140|2|67
141|1|40
142|2|44
143|5|19
144|2|0
145|4|115
146|5|120
147|3|8
9999|2|73
149|3|179
150|4|18
151|2|236
152|3|201
153|5|169
154|2|108
155|1|139
156|2|165
157|2|232
158|3|211
159|2|18
160|1|42
161|3|152
162|5|235
163|3|112
164|1|119
165|3|179
166|4|241
167|3|128
168|5|126
169|4|20
170|5|10
171|4|188
172|3|154
173|3|6
174|1|58
175|5|150
176|1|195
177|3|147
178|1|195
179|2|120
180|5|166
181|4|234
182|3|46
183|5|111
184|4|248
185|1|120
186|3|104
187|3|82
188|1|219
189|2|84
190|4|177
191|4|73
192|4|208
9999|5|9
194|4|22
9999|3|64
196|3|29
197|4|221
198|5|211
199|1|168
200|5|118
101|4|13
102|2|132
103|3|159
104|4|160
105|4|194
106|1|52
107|3|140
108|2|237
109|3|112
110|4|31
111|1|249
112|5|204
113|2|181
114|2|79
115|5|3
116|5|104
117|1|57
118|1|118
119|1|165
120|2|127
121|3|130
122|3|106
123|4|250
124|4|62
125|4|141
126|2|98
127|2|235
128|5|-130
129|2|221
130|1|70
131|4|87
132|5|68
133|1|72
134|3|214
135|5|148
136|4|221
137|2|114
138|5|123
139|3|85
140|5|195
141|5|96
142|4|238
143|3|222
144|2|178
145|2|146
146|4|59
147|4|11
148|3|190
149|4|180
150|4|98
151|2|126
152|1|32
153|5|247
154|5|-84
155|1|223
156|4|25
157|5|233
158|4|3
159|2|104
160|2|19
161|4|200
162|3|86
163|5|177
164|4|166
165|1|218
166|3|218
167|5|97
168|3|160
169|4|223
170|5|9
171|5|17
172|2|161
173|3|58
174|1|111
175|1|194
176|1|113
177|2|177
178|3|231
179|1|11
180|3|203
181|1|75
182|3|95
183|4|37
184|2|135
185|4|144
186|2|43
187|2|20
188|5|222
189|4|158
190|2|127
191|5|36
192|2|118
193|3|117
194|3|170
195|1|230
196|4|230
197|3|173
198|5|40
199|1|113
200|3|150
