SaleID,DateKey,ProductKey,CustomerKey,StoreKey,BranchKey,ChannelKey,Quantity,TotalAmount
1,20260201,103,6349,4.0,2,1,1,3297.12
2,20260202,196,5101,5.0,2,1,3,3243.2
3,20260203,146,5449,,1,2,5,1996.62
4,20260204,199,6351,2.0,1,1,6,3522.31
5,20260205,157,5069,5.0,2,1,6,1735.73
6,20260206,142,5851,2.0,1,1,2,4138.51
7,20260207,147,6088,,2,2,2,5357.6
8,20260208,162,5605,3.0,1,1,4,3798.76
9,20260209,129,6386,,2,2,5,1531.94
10,20260210,102,5542,5.0,1,1,4,3662.73
11,20260211,134,6198,4.0,2,1,1,3496.05
12,20260212,180,6150,,2,2,5,3251.68
13,20260213,160,6436,3.0,2,1,1,752.87
14,20260214,139,6009,1.0,1,1,2,4285.05
15,20260215,159,5760,,2,2,5,1505.45
16,20260216,154,6342,,1,2,4,1603.52
17,20260217,136,5068,3.0,1,1,4,4256.21
18,20260218,147,5204,3.0,2,1,1,1444.45
19,20260219,116,5932,1.0,1,1,6,1259.23
20,20260220,107,5684,2.0,1,1,5,4384.37
21,20260221,171,5425,5.0,1,1,2,3819.27
22,20260222,177,5006,3.0,1,1,2,1090.22
23,20260223,115,6354,1.0,1,1,1,3694.06
24,20260224,176,5664,1.0,1,1,3,3653.73
25,20260225,168,5233,1.0,2,1,4,3466.87
26,20260226,114,5926,,1,2,5,3468.84
27,20260227,185,6068,3.0,2,1,6,3632.91
28,20260228,162,5823,,2,2,6,1116.29
29,20260301,157,5151,1.0,2,1,5,3349.61
30,20260302,180,6297,5.0,2,1,4,1004.77
31,20260303,159,6036,,2,2,1,3558.9
32,20260304,184,6334,,1,2,4,1394.95
33,20260305,144,5929,4.0,2,1,6,1413.97
34,20260306,186,5523,3.0,1,1,6,2207.06
35,20260307,111,5191,,2,2,1,1149.09
36,20260308,117,6140,,1,2,5,2737.76
37,20260309,186,5251,,2,2,3,3720.75
38,20260310,155,6477,,1,2,3,5693.88
39,20260311,174,6040,2.0,1,1,6,1906.58
40,20260312,145,6140,3.0,1,1,3,3889.1
41,20260313,172,6274,5.0,1,1,5,3728.89
42,20260314,135,5060,,1,2,3,5113.2
43,20260315,144,5719,,1,2,2,2406.72
44,20260316,152,5143,,1,2,6,3744.87
45,20260317,196,6087,2.0,2,1,4,622.63
46,20260318,140,6478,3.0,1,1,1,1129.64
47,20260319,107,6381,1.0,2,1,4,-3517.74
48,20260320,157,5849,,2,2,2,3325.44
49,20260321,156,5228,,2,2,6,1391.85
50,20260322,186,5632,,1,2,2,3330.49
51,20260323,101,5419,3.0,1,1,2,2897.3
52,20260324,116,5016,,2,2,6,2305.13
53,20260325,169,6442,2.0,2,1,1,1016.74
54,20260326,156,5039,4.0,1,1,3,3468.17
55,20260327,191,6312,4.0,2,1,1,2793.6
56,20260328,122,6266,4.0,2,1,1,4364.8
57,20260329,156,6207,4.0,1,1,4,923.45
58,20260330,129,5683,,1,2,1,4678.19
59,20260331,166,5398,3.0,2,1,6,956.11
60,20260401,9999,5484,,1,2,2,4156.3
61,20260402,120,6343,1.0,1,1,6,1194.0
62,20260403,198,6187,4.0,2,1,6,3517.78
63,20260404,161,5906,3.0,2,1,5,2259.05
64,20260405,140,5946,4.0,1,1,1,2529.35
65,20260406,183,5185,5.0,2,1,4,1648.31
66,20260407,195,5085,4.0,1,1,3,4316.93
67,20260408,108,5923,1.0,2,1,6,2505.47
