SaleID,DateKey,ProductKey,CustomerKey,StoreKey,BranchKey,ChannelKey,Quantity,TotalAmount
3,20260203,146,5449,,1,2,5,1996.62
7,20260207,147,6088,,2,2,2,5357.6
9,20260209,129,6386,,2,2,5,1531.94
12,20260212,180,6150,,2,2,5,3251.68
15,20260215,159,5760,,2,2,5,1505.45
16,20260216,154,6342,,1,2,4,1603.52
26,20260226,114,5926,,1,2,5,3468.84
28,20260228,162,5823,,2,2,6,1116.29
31,20260303,159,6036,,2,2,1,3558.9
32,20260304,184,6334,,1,2,4,1394.95
35,20260307,111,5191,,2,2,1,1149.09
36,20260308,117,6140,,1,2,5,2737.76
37,20260309,186,5251,,2,2,3,3720.75
38,20260310,155,6477,,1,2,3,5693.88
42,20260314,135,5060,,1,2,3,5113.2
43,20260315,144,5719,,1,2,2,2406.72
44,20260316,152,5143,,1,2,6,3744.87
48,20260320,157,5849,,2,2,2,3325.44
49,20260321,156,5228,,2,2,6,1391.85
50,20260322,186,5632,,1,2,2,3330.49
52,20260324,116,5016,,2,2,6,2305.13
58,20260330,129,5683,,1,2,1,4678.19
60,20260401,9999,5484,,1,2,2,4156.3
70,20260411,181,6326,,2,2,1,1072.3
73,20260414,172,5772,,2,2,2,1240.54
74,20260415,195,6404,,1,2,6,5110.59
75,20260416,103,5743,,2,2,2,3444.14
76,20260417,199,5996,,1,2,2,-2577.01
77,20260418,138,5208,,1,2,6,1605.71
82,20260423,165,6081,,2,2,2,4846.24
83,20260424,118,5513,,1,2,6,4966.55
86,20260427,158,5716,,1,2,4,1954.6
91,20260201,155,5228,,2,2,2,3966.18
95,20260205,147,5139,,1,2,4,1245.19
96,20260206,150,5765,,2,2,6,1026.38
102,20260212,116,5754,,2,2,4,2526.01
103,20260213,150,5695,,1,2,4,5452.11
104,20260214,167,5547,,1,2,6,2710.2
107,20260217,106,6489,,2,2,5,2628.04
108,20260218,108,5154,,2,2,3,2227.69
114,20260224,9999,6254,,2,2,6,4461.0
115,20260225,116,5278,,1,2,4,3354.24
121,20260303,141,6316,,1,2,4,1183.5
127,20260309,178,5692,,1,2,1,4547.29
130,20260312,188,5832,,2,2,4,3311.31
133,20260315,114,5654,,1,2,4,3477.9
135,20260317,121,5671,,2,2,2,2974.3
136,20260318,9999,5957,,2,2,3,3390.98
142,20260324,9999,6143,,2,2,2,2848.3
144,20260326,167,5936,,1,2,5,-4980.62
145,20260327,179,5653,,1,2,4,1526.86
146,20260328,139,6216,,2,2,5,4644.46
147,20260329,191,6153,,2,2,4,3568.17
148,20260330,187,5225,,2,2,5,2715.46
150,20260401,200,6185,,1,2,6,4871.1
152,20260403,174,6435,,1,2,2,2059.42
154,20260405,195,6490,,1,2,6,5586.71
156,20260407,169,5702,,2,2,6,3190.25
157,20260408,183,6420,,2,2,5,4548.81
159,20260410,9999,6444,,2,2,3,4465.48
161,20260412,151,5707,,1,2,3,2774.41
166,20260417,171,5324,,2,2,6,826.94
167,20260418,162,6333,,1,2,3,5367.68
169,20260420,105,5359,,2,2,2,5221.73
170,20260421,151,6015,,1,2,6,988.97
171,20260422,105,5019,,2,2,5,5615.41
173,20260424,125,5231,,2,2,2,3233.71
174,20260425,192,5382,,1,2,6,4171.08
178,20260429,193,6174,,1,2,3,2370.12
179,20260430,108,6368,,1,2,4,4402.4
181,20260201,179,5453,,1,2,2,2334.2
183,20260203,198,5507,,1,2,5,5093.14
185,20260205,169,5307,,1,2,3,1851.22
186,20260206,188,5421,,2,2,1,3097.57
187,20260207,108,5929,,1,2,5,3116.51
193,20260213,169,5805,,1,2,6,1416.89
194,20260214,197,5047,,2,2,4,5141.07
195,20260215,169,5777,,1,2,2,3631.12
200,20260220,194,6180,,2,2,5,2017.64
203,20260223,107,5706,,2,2,5,3690.42
208,20260228,135,5773,,1,2,1,1790.5
212,20260304,200,5580,,2,2,4,3670.81
216,20260308,154,5605,,1,2,2,3811.54
218,20260310,193,6315,,2,2,4,3340.83
220,20260312,183,5121,,1,2,1,3619.11
221,20260313,198,5014,,2,2,2,4274.72
222,20260314,191,5310,,1,2,2,2003.45
225,20260317,137,5036,,2,2,2,3585.84
232,20260324,170,6155,,1,2,2,2257.94
233,20260325,127,6203,,1,2,6,2435.32
234,20260326,139,5333,,1,2,5,5630.15
235,20260327,170,5680,,2,2,6,2823.61
239,20260331,188,6200,,2,2,1,3045.61
240,20260401,132,6461,,1,2,1,2335.97
248,20260409,132,6477,,2,2,5,2677.85
250,20260411,143,5902,,2,2,4,2775.43
251,20260412,177,5279,,2,2,3,5269.44
255,20260416,199,6127,,1,2,6,1735.62
260,20260421,146,5341,,1,2,5,4219.53
261,20260422,152,5680,,2,2,1,4322.85
264,20260425,138,5852,,1,2,1,3310.41
265,20260426,145,5639,,2,2,4,4596.78
266,20260427,145,5976,,1,2,4,3509.8
267,20260428,109,5615,,1,2,6,-3152.73
274,20260204,150,6252,,2,2,5,2429.7
281,20260211,157,6001,,1,2,1,2961.28
287,20260217,145,6456,,2,2,2,3857.2
291,20260221,117,6437,,1,2,2,5308.65
294,20260224,152,6056,,2,2,6,4798.2
295,20260225,163,5671,,1,2,6,2719.17
301,20260303,112,6341,,2,2,3,5358.29
309,20260311,179,6407,,2,2,2,5583.45
311,20260313,118,5508,,2,2,6,2435.42
317,20260319,103,6203,,1,2,1,4805.91
319,20260321,155,6438,,2,2,1,4788.97
325,20260327,121,6017,,2,2,5,4447.8
327,20260329,116,5061,,2,2,4,2197.58
330,20260401,187,6481,,1,2,2,5450.2
331,20260402,102,5501,,1,2,4,813.36
344,20260415,195,5669,,2,2,4,2843.35
348,20260419,142,5304,,1,2,6,1009.72
356,20260427,158,5305,,1,2,5,2229.91
359,20260430,103,5784,,2,2,4,3627.01
364,20260204,123,5361,,1,2,5,5956.02
370,20260210,115,6078,,2,2,1,1536.59
373,20260213,179,5731,,1,2,6,3722.28
375,20260215,174,5802,,1,2,2,5733.7
378,20260218,191,6373,,2,2,4,1261.38
380,20260220,157,5860,,1,2,4,1050.37
382,20260222,121,5925,,1,2,1,4373.23
393,20260305,111,6369,,2,2,5,4270.84
397,20260309,122,5434,,1,2,2,3135.01
402,20260314,169,5705,,2,2,3,4885.88
405,20260317,131,5101,,2,2,3,2523.77
406,20260318,139,5637,,2,2,4,905.21
407,20260319,130,5276,,2,2,6,4361.23
411,20260323,173,5060,,1,2,2,3526.29
412,20260324,9999,5511,,1,2,4,1843.78
420,20260401,155,5772,,2,2,4,4142.25
423,20260404,144,5567,,2,2,3,3305.04
425,20260406,177,5828,,2,2,6,5478.37
428,20260409,182,5975,,2,2,5,4368.85
433,20260414,188,5782,,2,2,4,3402.48
435,20260416,119,5648,,1,2,1,5930.58
443,20260424,144,6004,,2,2,2,5976.46
445,20260426,103,6208,,1,2,1,1898.19
447,20260428,184,5041,,1,2,6,4242.24
455,20260205,193,5208,,2,2,6,1190.25
457,20260207,138,5738,,2,2,4,5345.53
458,20260208,198,5094,,1,2,2,1293.99
459,20260209,146,5897,,2,2,6,1686.66
462,20260212,121,5213,,2,2,5,1104.96
465,20260215,109,5536,,2,2,1,3091.58
466,20260216,199,6181,,1,2,6,4325.23
467,20260217,189,6435,,1,2,4,3499.32
468,20260218,145,6360,,2,2,2,2092.6
469,20260219,179,5112,,1,2,6,3703.39
